title,Year_of_release,Genre,movie_runtime,IMDB_rating,IMDB_votes,Cast_&_Crew
Parinda,1989," Action, Crime, Drama            ",154 min,  7.8 ,3239,"     Director: Vidhu Vinod Chopra |      Stars: Jackie Shroff,  Anil Kapoor,  Nana Patekar,  Madhuri Dixit "
Baabul,2006," Drama, Family, Romance            ",169 min,  5.4 ,3233,"     Director: Ravi Chopra |      Stars: Amitabh Bachchan,  Salman Khan,  Hema Malini,  John Abraham "
14 Phere,2021," Comedy, Romance            ",111 min,  6.5 ,3231,"     Director: Devanshu Singh |      Stars: Kriti Kharbanda,  Vikrant Massey,  Gauahar Khan,  Yamini Das "
Suraj Pe Mangal Bhari,2020, Comedy            ,139 min,  5.9 ,3231,"     Director: Abhishek Sharma |      Stars: Manoj Bajpayee,  Fatima Sana Shaikh,  Vijay Raaz,  Diljit Dosanjh "
Bahut Hua Sammaan,2020," Comedy, Crime, Drama            ",125 min,  7.3 ,3230,"     Director: Ashish R. Shukla |      Stars: Sanjay Mishra,  Ram Kapoor,  Raghav Juyal,  Dibyendu Bhattacharya "
1920,2008," Horror, Mystery, Romance            ",138 min,  6.4 ,3227,"     Director: Vikram Bhatt |      Stars: Rajniesh Duggall,  Adah Sharma,  Anjori Alagh,  Raj Zutshi "
Comedy Couple,2020," Comedy, Romance            ",117 min,  7.6 ,3223,"     Director: Nachiket Samant |      Stars: Saqib Saleem,  Shweta Basu Prasad,  Pooja Bedi,  Rajesh Tailang "
The Lovers,I 2015," Action, Adventure, Romance            ",109 min,  4.6 ,3218,"     Director: Roland Joffé |      Stars: Josh Hartnett,  Bipasha Basu,  Tamsin Egerton,  James Mackay "
Satte Pe Satta,1982," Action, Comedy, Drama            ",160 min,  7.2 ,3217,"     Director: Raj N. Sippy |      Stars: Amitabh Bachchan,  Hema Malini,  Ranjeeta Kaur,  Amjad Khan "
Raaz,2002," Drama, Horror, Musical            ",151 min,  6.5 ,3209,"     Director: Vikram Bhatt |      Stars: Dino Morea,  Bipasha Basu,  Malini Sharma,  Ashutosh Rana "
Chal Mere Bhai,2000," Comedy, Romance            ",136 min,  4.7 ,3209,"     Director: David Dhawan |      Stars: Sanjay Dutt,  Salman Khan,  Karisma Kapoor,  Dalip Tahil "
Chalo Dilli,2011," Comedy, Drama            ",155 min,  6.8 ,3157,"     Director: Shashant Shah |      Stars: Vinay Pathak,  Lara Dutta,  Yana Gupta,  Akshay Kumar "
Welcome to Sajjanpur,2008," Comedy, Drama            ",133 min,  6.9 ,3157,"     Director: Shyam Benegal |      Stars: Shreyas Talpade,  Amrita Rao,  Ravi Kishan,  Ila Arun "
Shool,1999," Action, Crime, Drama            ",138 min,  7.7 ,3148,"     Director: Eeshwar Nivas |      Stars: Manoj Bajpayee,  Raveena Tandon,  Sayaji Shinde,  Yashpal Sharma "
Chakravyuh,2012," Action, Drama, Thriller            ",152 min,  6.8 ,3147,"     Director: Prakash Jha |      Stars: Arjun Rampal,  Abhay Deol,  Manoj Bajpayee,  Esha Gupta "
Khal Nayak,1993," Action, Adventure, Crime            ",190 min,  7.2 ,3147,"     Director: Subhash Ghai |      Stars: Sanjay Dutt,  Madhuri Dixit,  Jackie Shroff,  Rakhee Gulzar "
Haseena Maan Jaayegi,1999," Action, Comedy, Romance            ",147 min,  6.2 ,3146,"     Director: David Dhawan |      Stars: Sanjay Dutt,  Govinda,  Karisma Kapoor,  Pooja Batra "
Munna Michael,2017," Action, Drama, Music            ",140 min,  3.3 ,3144,"     Director: Sabir Khan |      Stars: Tiger Shroff,  Nidhhi Agerwal,  Nawazuddin Siddiqui,  Sahil Anand "
Commando 2,2017," Action, Adventure, Thriller            ",144 min,  5.3 ,3131,"     Director: Deven Bhojani |      Stars: Vidyut Jammwal,  Adah Sharma,  Esha Gupta,  Freddy Daruwala "
The Body,II 2019," Mystery, Thriller            ",101 min,  5.4 ,3116,"     Director: Jeethu Joseph |      Stars: Emraan Hashmi,  Rishi Kapoor,  Sobhita Dhulipala,  Vedhika "
Thackeray,2019," Biography, Drama            ",120 min,  5.2 ,3113,"     Director: Abhijit Panse |      Stars: Nawazuddin Siddiqui,  Amrita Rao,  Radha Sagar,  Sanjay Narvekar "
Hate Story 3,2015," Drama, Thriller            ",126 min,  4.5 ,3111,"     Director: Vishal Pandya |      Stars: Sharman Joshi,  Karan Singh Grover,  Zareen Khan,  Daisy Shah "
Tevar,2015," Action, Drama, Romance            ",157 min,  4.1 ,3095,"     Director: Amit Ravindernath Sharma |      Stars: Arjun Kapoor,  Sonakshi Sinha,  Manoj Bajpayee,  Deepti Naval "
Zakhm,1998, Drama            ,125 min,  7.9 ,3085,"     Director: Mahesh Bhatt |      Stars: Ajay Devgn,  Pooja Bhatt,  Nagarjuna Akkineni,  Sonali Bendre "
Pyaar Ke Side Effects,2006," Comedy, Drama, Romance            ",132 min,  6.7 ,3083,"     Director: Saket Chaudhary |      Stars: Rahul Bose,  Mallika Sherawat,  Ranvir Shorey,  Sharat Saxena "
Pyaar To Hona Hi Tha,1998," Comedy, Drama, Romance            ",156 min,  6.7 ,3076,"     Director: Anees Bazmee |      Stars: Ajay Devgn,  Kajol,  Bijay Anand,  Kashmira Shah "
Pyaar Impossible!,2010," Comedy, Romance            ",140 min,  4.6 ,3074,"     Director: Jugal Hansraj |      Stars: Priyanka Chopra Jonas,  Anupam Kher,  Uday Chopra,  Dino Morea "
Sadma,1983," Drama, Romance            ",141 min,  8.4 ,3069,"     Director: Balu Mahendra |      Stars: Kamal Haasan,  Sridevi,  Gulshan Grover,  Silk Smitha "
Aaja Nachle,2007," Drama, Family, Music            ",137 min,  6.2 ,3057,"     Director: Anil Mehta |      Stars: Madhuri Dixit,  Darshan Jariwala,  Raghuvir Yadav,  Divya Dutta "
We Are Family,2010," Comedy, Drama, Family            ",115 min,  5.6 ,3044,"     Director: Siddharth Malhotra |      Stars: Kajol,  Kareena Kapoor,  Arjun Rampal,  Amrita Prakash "
Omerta,2017," Action, Biography, Crime            ",98 min,  7.2 ,3039,"     Director: Hansal Mehta |      Stars: Rajkummar Rao,  Rajesh Tailang,  Satwant Kaur,  Abhimanue "
Ekk Deewana Tha,2012," Drama, Romance            ",136 min,  5.9 ,3027,"     Director: Gautham Vasudev Menon |      Stars: Prateik,  Amy Jackson,  Sachin Khedekar,  Manu Rishi Chadha "
Sanam Re,2016," Drama, Romance            ",120 min,  3.2 ,3016,"     Director: Divya Khosla Kumar |      Stars: Rishi Kapoor,  Pulkit Samrat,  Yami Gautam,  Urvashi Rautela "
Main Aurr Mrs Khanna,2009," Comedy, Drama, Romance            ",109 min,  3.6 ,3011,"     Director: Prem Soni |      Stars: Salman Khan,  Kareena Kapoor,  Sohail Khan,  Preity Zinta "
F.A.L.T.U,2011," Comedy, Drama            ",120 min,  4.6 ,3009,"     Director: Remo D'Souza |      Stars: Arshad Warsi,  Riteish Deshmukh,  Jackky Bhagnani,  Puja Gupta "
Phörpa,1999," Comedy, Sport            ",93 min,  7.0 ,2975,"     Director: Khyentse Norbu |      Stars: Orgyen Tobgyal,  Neten Chokling,  Jamyang Lodro,  Lama Chonjor "
Aan: Men at Work,2004," Action, Crime, Drama            ",149 min,  5.7 ,2971,"     Director: Madhur Bhandarkar |      Stars: Akshay Kumar,  Shatrughan Sinha,  Sunil Shetty,  Paresh Rawal "
The Stoneman Murders,2009," Crime, Drama, Mystery            ",95 min,  7.4 ,2961,"     Director: Manish Gupta |      Stars: Kay Kay Menon,  Arbaaz Khan,  Rukhsar Rehman,  Virendra Saxena "
The Shaukeens,2014, Comedy            ,124 min,  4.9 ,2959,"     Director: Abhishek Sharma |      Stars: Akshay Kumar,  Lisa Haydon,  Anupam Kher,  Rajni Basumatary "
Apne,2007," Drama, Sport            ",173 min,  6.0 ,2959,"     Director: Anil Sharma |      Stars: Dharmendra,  Sunny Deol,  Bobby Deol,  Shilpa Shetty Kundra "
Dolly Ki Doli,2015," Comedy, Romance            ",98 min,  4.5 ,2957,"     Director: Abhishek Dogra |      Stars: Malaika Arora,  Karan Ashar,  Mohd. Zeeshan Ayyub,  Karim Hajee "
Sooryavansham,1999," Action, Drama            ",168 min,  6.3 ,2957,"     Directors: E.V.V. Satyanarayana,  Pranavanand |      Stars: Amitabh Bachchan,  Soundarya,  Rachana Banerjee,  Jayasudha "
Katti Batti,2015," Comedy, Drama, Romance            ",135 min,  4.9 ,2948,"     Director: Nikkhil Advani |      Stars: Imran Khan,  Kangana Ranaut,  Suhaas Ahuja,  Vivan Bhatena "
Total Siyapaa,2014," Comedy, Drama, Romance            ",108 min,  5.0 ,2920,"     Director: Eeshwar Nivas |      Stars: Ali Zafar,  Yami Gautam,  Anupam Kher,  Kirron Kher "
Aladin,2009," Action, Adventure, Comedy            ",132 min,  4.6 ,2901,"     Director: Sujoy Ghosh |      Stars: Amitabh Bachchan,  Sanjay Dutt,  Riteish Deshmukh,  Jacqueline Fernandez "
Taarzan: The Wonder Car,2004," Action, Fantasy, Thriller            ",163 min,  4.5 ,2890,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Vatsal Sheth,  Ayesha Takia,  Ajay Devgn,  Farida Jalal "
Marudhar Express,2019," Drama, Romance            ",106 min,  6.0 ,2875,"     Directors: Vishal Mishra,  Amit Patel |      Stars: Kunaal Roy Kapur,  Tara-Alisha Berry,  Rajesh Sharma,  Gaurav Dixit "
Hum,1991," Action, Comedy, Drama            ",184 min,  6.8 ,2871,"     Director: Mukul Anand |      Stars: Amitabh Bachchan,  Rajinikanth,  Govinda,  Kimi Katkar "
Phobia,I 2016," Drama, Mystery, Thriller            ",112 min,  6.9 ,2869,"     Director: Pawan Kripalani |      Stars: Radhika Apte,  Amrita Bagchi,  Nivedita Bhattacharya,  Yashaswini Dayama "
Tumko Na Bhool Paayenge,2002," Action, Romance, Thriller            ",160 min,  5.6 ,2869,"     Director: Pankaj Parashar |      Stars: Pankaj Dheer,  Arbaaz Khan,  Salman Khan,  Sushmita Sen "
Bichhoo,2000," Action, Crime, Drama            ",160 min,  5.0 ,2866,"     Director: Guddu Dhanoa |      Stars: Bobby Deol,  Rani Mukerji,  Ashish Vidyarthi,  Farida Jalal "
Chance Pe Dance,2010," Comedy, Drama, Music            ",122 min,  4.7 ,2862,"     Director: Ken Ghosh |      Stars: Shahid Kapoor,  Genelia D'Souza,  Mohnish Bahl,  Satish Shah "
Haasil,2003," Crime, Drama, Romance            ",160 min,  7.6 ,2856,"     Director: Tigmanshu Dhulia |      Stars: Jimmy Sheirgill,  Hrishitaa Bhatt,  Irrfan Khan,  Ashutosh Rana "
B.A. Pass 3,2021," Drama, Romance            ",136 min,  8.3 ,2855,"     Director: Narendra Singh |      Stars: Sunny Sachdeva,  Armaan Sandhu,  Ankita Sahu,  Ankita Chouhan "
Muthu,1995," Action, Comedy, Drama            ",132 min,  7.6 ,2847,"     Director: K.S. Ravikumar |      Stars: Rajinikanth,  Meena,  Sarath Babu,  Senthil "
Bade Miyan Chote Miyan,1998," Action, Comedy, Musical            ",140 min,  5.8 ,2843,"     Director: David Dhawan |      Stars: Amitabh Bachchan,  Govinda,  Raveena Tandon,  Ramya Krishnan "
Laila Majnu,2018," Drama, Romance            ",140 min,  7.7 ,2842,"     Director: Sajid Ali |      Stars: Avinash Tiwary,  Tripti Dimri,  Sumit Kaul,  Abrar Qazi "
Soldier,II 1998," Action, Drama, Musical            ",156 min,  6.2 ,2841,"     Directors: Abbas Alibhai Burmawalla,  Mastan Alibhai Burmawalla |      Stars: Bobby Deol,  Preity Zinta,  Rakhee Gulzar,  Farida Jalal "
Bhuddah Hoga Tera Baap,2011," Action, Comedy, Crime            ",114 min,  5.6 ,2836,"     Director: Puri Jagannadh |      Stars: Amitabh Bachchan,  Hema Malini,  Sonu Sood,  Sonal Chauhan "
Dil Dosti Etc,2007," Comedy, Crime, Drama            ",112 min,  7.0 ,2834,"     Director: Manish Tiwary |      Stars: Imaaduddin Shah,  Shreyas Talpade,  Smriti Mishra,  Nikita Anand "
99,I 2009," Comedy, Crime, Drama            ",135 min,  7.3 ,2820,"     Directors: Krishna D.K.,  Raj Nidimoru |      Stars: Kunal Khemu,  Boman Irani,  Soha Ali Khan,  Cyrus Broacha "
Hero No. 1,1997," Comedy, Drama, Musical            ",134 min,  6.2 ,2813,"     Director: David Dhawan |      Stars: Govinda,  Karisma Kapoor,  Kader Khan,  Paresh Rawal "
Na Tum Jaano Na Hum,2002," Comedy, Drama, Musical            ",158 min,  5.0 ,2807,"     Director: Arjun Sablok |      Stars: Saif Ali Khan,  Hrithik Roshan,  Esha Deol,  Alok Nath "
Dilwale,1994," Action, Drama, Romance            ",172 min,  5.7 ,2800,"     Director: Harry Baweja |      Stars: Ajay Devgn,  Sunil Shetty,  Raveena Tandon,  Gulshan Grover "
Angry Indian Goddesses,2015," Comedy, Drama            ",121 min,  7.0 ,2795,"     Director: Pan Nalin |      Stars: Sarah Jane Dias,  Rajshri Deshpande,  Sandhya Mridul,  Amy Maghera "
LOC: Kargil,2003," Drama, History, War            ",255 min,  5.3 ,2780,"     Director: J.P. Dutta |      Stars: Sanjay Dutt,  Ajay Devgn,  Saif Ali Khan,  Sunil Shetty "
King Uncle,1993," Comedy, Drama, Family            ",171 min,  5.1 ,2778,"     Director: Rakesh Roshan |      Stars: Jackie Shroff,  Shah Rukh Khan,  Nagma,  Sushmita Mukherjee "
Lucknow Central,2017," Action, Crime, Drama            ",133 min,  6.2 ,2774,"     Director: Ranjit Tewari |      Stars: Farhan Akhtar,  Diana Penty,  Inaamulhaq,  Ronit Roy "
Sharaabi,1984," Comedy, Drama, Romance            ",180 min,  7.4 ,2769,"     Director: Prakash Mehra |      Stars: Amitabh Bachchan,  Bharat Bhushan,  Chandrashekhar,  C.S. Dubey "
Rascals,2011," Action, Comedy, Crime            ",128 min,  2.9 ,2756,"     Director: David Dhawan |      Stars: Ajay Devgn,  Sanjay Dutt,  Kangana Ranaut,  Lisa Haydon "
Sharma Ji Ki Lag Gayi,2019, Comedy            ,122 min,  4.8 ,2745,"     Director: Manoj Sharma |      Stars: Mugdha Godse,  Brijendra Kala,  Krishna Abhishek,  Shweta Khanduri "
Chaahat,1996," Drama, Romance            ",151 min,  5.5 ,2736,"     Director: Mahesh Bhatt |      Stars: Naseeruddin Shah,  Shah Rukh Khan,  Pooja Bhatt,  Anupam Kher "
Cargo,I 2019," Drama, Fantasy, Sci-Fi            ",119 min,  5.7 ,2729,"     Director: Arati Kadav |      Stars: Vikrant Massey,  Shweta Tripathi,  Nandu Madhav,  Konkona Sen Sharma "
Namaste England,2018," Comedy, Drama, Romance            ",141 min,  2.2 ,2728,"     Director: Vipul Amrutlal Shah |      Stars: Arjun Kapoor,  Parineeti Chopra,  Anil Charanjeett,  Alankrita Sahai "
Raja Babu,1994," Action, Comedy, Drama            ",161 min,  6.3 ,2723,"     Director: David Dhawan |      Stars: Govinda,  Karisma Kapoor,  Shakti Kapoor,  Kader Khan "
Rakhta Charitra 2,2010," Action, Biography, Crime            ",135 min,  6.5 ,2713,"     Director: Ram Gopal Varma |      Stars: Shatrughan Sinha,  Vivek Oberoi,  Suriya,  Sudeep "
Abhimaan,1973," Drama, Musical            ",122 min,  7.9 ,2711,"     Director: Hrishikesh Mukherjee |      Stars: Amitabh Bachchan,  Jaya Bachchan,  Asrani,  Bindu "
Freaky Ali,2016," Comedy, Sport            ",120 min,  4.9 ,2709,"     Director: Sohail Khan |      Stars: Nawazuddin Siddiqui,  Arbaaz Khan,  Amy Jackson,  Asif Basra "
Lamhe,1991," Drama, Musical, Romance            ",187 min,  7.4 ,2704,"     Director: Yash Chopra |      Stars: Anil Kapoor,  Sridevi,  Anupam Kher,  Waheeda Rehman "
Begum Jaan,2017," Action, Drama, History            ",128 min,  5.5 ,2699,"     Director: Srijit Mukherji |      Stars: Amitabh Bachchan,  Flora Saini,  Pallavi Sharda,  Vidya Balan "
Mickey Virus,2013," Comedy, Thriller            ",135 min,  6.0 ,2699,"     Director: Saurabh Varma |      Stars: Manish Paul,  Dean Alexandrou,  Elli Avrram,  V.M. Badola "
Muqaddar Ka Sikandar,1978," Drama, Romance            ",189 min,  7.5 ,2698,"     Director: Prakash Mehra |      Stars: Amitabh Bachchan,  Vinod Khanna,  Rakhee Gulzar,  Rekha "
Mastizaade,2016, Comedy            ,119 min,  2.4 ,2695,"     Director: Milap Zaveri |      Stars: Tusshar Kapoor,  Vir Das,  Sunny Leone,  Asrani "
Ghost,I 2019," Horror, Thriller            ",130 min,  5.0 ,2694,"     Director: Vikram Bhatt |      Stars: Sanaya Irani,  Shivam Bhaargava,  Vikram Bhatt,  Ameet Chana "
Kaalakaandi,2018," Comedy, Thriller            ",112 min,  6.3 ,2690,"     Director: Akshat Verma |      Stars: Saif Ali Khan,  Asif Basra,  Neil Bhoopalam,  Ankit Bisht "
Pinjar: Beyond Boundaries...,2003, Drama            ,188 min,  8.0 ,2690,"     Director: Chandra Prakash Dwivedi |      Stars: Urmila Matondkar,  Manoj Bajpayee,  Sanjay Suri,  Sandali Sinha "
Dulhe Raja,1998, Comedy            ,143 min,  6.6 ,2689,"     Director: Harmesh Malhotra |      Stars: Govinda,  Raveena Tandon,  Kader Khan,  Prem Chopra "
Deewangee,2002," Crime, Drama, Mystery            ",169 min,  6.6 ,2682,"     Director: Anees Bazmee |      Stars: Ajay Devgn,  Akshaye Khanna,  Urmila Matondkar,  Farida Jalal "
Shree 420,1955," Comedy, Crime, Drama            ",168 min,  8.0 ,2681,"     Director: Raj Kapoor |      Stars: Nargis,  Raj Kapoor,  Nadira,  Nemo "
Bank Chor,2017," Action, Comedy, Crime            ",120 min,  5.9 ,2679,"     Director: Bumpy |      Stars: Riteish Deshmukh,  Vivek Oberoi,  Rhea Chakraborty,  Sahil Vaid "
Welcome Home,VI 2020," Crime, Drama, Horror            ",126 min,  7.5 ,2678,"     Director: Pushkar Mahabal |      Stars: Kashmira Irani,  Swarda Thigle,  Shashi Bhushan,  Boloram Das "
Running Shaadi,2017," Comedy, Romance            ",114 min,  6.6 ,2677,"     Director: Amit Roy |      Stars: Arsh Bajwa,  Taapsee Pannu,  Richa Meena,  Amit Sadh "
What's Your Raashee?,2009," Comedy, Drama, Romance            ",195 min,  4.6 ,2677,"     Director: Ashutosh Gowariker |      Stars: Harman Baweja,  Priyanka Chopra Jonas,  Anjan Srivastav,  Manju Singh "
Sunday,I 2008," Action, Comedy, Mystery            ",135 min,  5.4 ,2672,"     Director: Rohit Shetty |      Stars: Ajay Devgn,  Ayesha Takia,  Arshad Warsi,  Irrfan Khan "
Shaan,1980," Action, Adventure, Crime            ",181 min,  7.1 ,2666,"     Director: Ramesh Sippy |      Stars: Sunil Dutt,  Shashi Kapoor,  Amitabh Bachchan,  Shatrughan Sinha "
404: Error Not Found,2011," Drama, Mystery, Thriller            ",121 min,  7.3 ,2663,"     Director: Prawaal Raman |      Stars: Rajvvir Aroraa,  Imaaduddin Shah,  Nishikant Kamat,  Ruchir Raj "
Jab Pyaar Kisise Hota Hai,1998," Comedy, Drama, Romance            ",154 min,  5.8 ,2661,"     Director: Deepak Sareen |      Stars: Salman Khan,  Twinkle Khanna,  Johnny Lever,  Farida Jalal "
Silsila,1981," Drama, Family, Romance            ",182 min,  7.3 ,2657,"     Director: Yash Chopra |      Stars: Amitabh Bachchan,  Shashi Kapoor,  Jaya Bachchan,  Rekha "
Jaanwar,1999," Action, Crime, Drama            ",172 min,  6.0 ,2656,"     Director: Suneel Darshan |      Stars: Akshay Kumar,  Karisma Kapoor,  Shilpa Shetty Kundra,  Mohnish Bahl "
Paharganj,2019," Crime, Drama, Mystery            ",108 min,  4.5 ,2649,"     Director: Rakesh Ranjan Kumar |      Stars: Lorena Franco,  Bijesh Jayarajan,  Neet Chowdhary,  Rajeev Gaursingh "
Kalyug,2005," Action, Crime, Drama            ",126 min,  6.5 ,2647,"     Director: Mohit Suri |      Stars: Kunal Khemu,  Deepal Shaw,  Smiley Suri,  Atul Parchure "
Tribhanga,2021," Drama, Family            ",95 min,  6.1 ,2643,"     Director: Renuka Shahane |      Stars: Kajol,  Tanvi Azmi,  Mithila Palkar,  Kunaal Roy Kapur "
Soni,2018," Crime, Drama            ",97 min,  7.1 ,2630,"     Director: Ivan Ayr |      Stars: Geetika Vidya Ohlyan,  Saloni Batra,  Vikas Shukla,  Mohit Chauhan "
Commando 3,2019," Action, Adventure, Thriller            ",133 min,  5.7 ,2607,"     Director: Aditya Datt |      Stars: Vidyut Jammwal,  Adah Sharma,  Gulshan Devaiah,  Angira Dhar "
The Warrior,2001," Adventure, Drama            ",86 min,  6.7 ,2606,"     Director: Asif Kapadia |      Stars: Irrfan Khan,  Puru Chibber,  Aino Annuddin,  Manoj Mishra "
Traffic,I 2016," Adventure, Drama, Thriller            ",104 min,  6.7 ,2589,"     Director: Rajesh Pillai |      Stars: Manoj Bajpayee,  Amol Parashar,  Jimmy Sheirgill,  Divya Dutta "
Virasat,1997," Drama, Family, Musical            ",165 min,  7.5 ,2587,"     Director: Priyadarshan |      Stars: Anil Kapoor,  Tabu,  Pooja Batra,  Milind Gunaji "
Luck,I 2009," Action, Adventure, Drama            ",141 min,  4.9 ,2584,"     Director: Soham Shah |      Stars: Mithun Chakraborty,  Sanjay Dutt,  Imran Khan,  Ravi Kishan "
Lajja,2001," Action, Crime, Drama            ",202 min,  6.7 ,2583,"     Director: Rajkumar Santoshi |      Stars: Manisha Koirala,  Jackie Shroff,  Madhuri Dixit,  Ajay Devgn "
Jalebi,2018," Drama, Romance            ",112 min,  6.0 ,2581,"     Director: Pushpdeep Bhardwaj |      Stars: Rhea Chakraborty,  Varun Mitra,  Digangana Suryavanshi,  Arya Poorti "
One Two Three,2008," Comedy, Crime            ",135 min,  5.3 ,2575,"     Director: Ashwani Dhir |      Stars: Tusshar Kapoor,  Sunil Shetty,  Paresh Rawal,  Esha Deol "
Trimurti,1995," Action, Drama            ",187 min,  4.8 ,2561,"     Director: Mukul Anand |      Stars: Jackie Shroff,  Anil Kapoor,  Shah Rukh Khan,  Priya Tendulkar "
Deewana Mastana,1997," Comedy, Romance            ",140 min,  6.7 ,2559,"     Director: David Dhawan |      Stars: Anil Kapoor,  Govinda,  Juhi Chawla,  Johnny Lever "
Ragini MMS,2011," Drama, Horror, Mystery            ",93 min,  4.9 ,2558,"     Director: Pawan Kripalani |      Stars: Kainaz Motivala,  Rajkummar Rao,  Rajat Kaul,  Janice "
Why Cheat India,2019," Crime, Drama            ",121 min,  6.0 ,2539,"     Director: Soumik Sen |      Stars: Emraan Hashmi,  Shreya Dhanwanthary,  Snighdadeep Chatterji,  Shubham Somu Srivastava "
Sulemani Keeda,2014," Comedy, Romance            ",89 min,  7.1 ,2535,"     Director: Amit Masurkar |      Stars: Naveen Kasturia,  Mayank Tewari,  Aditi Vasudev,  Karan Mirchandani "
Chandni Bar,2001," Crime, Drama            ",150 min,  7.6 ,2532,"     Director: Madhur Bhandarkar |      Stars: Tabu,  Atul Kulkarni,  Rajpal Yadav,  Shri Vallabh Vyas "
Fida,2004," Action, Crime, Drama            ",122 min,  5.5 ,2529,"     Director: Ken Ghosh |      Stars: Kareena Kapoor,  Fardeen Khan,  Shahid Kapoor,  Kim Sharma "
Inkaar,2013," Drama, Romance, Thriller            ",125 min,  6.0 ,2527,"     Directors: Sudhir Mishra,  Jay Dev Banerjee |      Stars: Arjun Rampal,  Chitrangda Singh,  Vipin Sharma,  Mithun Rodwittiya "
Rann,2010," Drama, Mystery, Thriller            ",137 min,  6.9 ,2526,"     Director: Ram Gopal Varma |      Stars: Amitabh Bachchan,  Riteish Deshmukh,  Gul Panag,  Paresh Rawal "
Dulha Mil Gaya,2010," Comedy, Drama, Romance            ",152 min,  4.2 ,2524,"     Director: Mudassar Aziz |      Stars: Sushmita Sen,  Fardeen Khan,  Ishita Sharma,  Shah Rukh Khan "
Loev,2015," Drama, Romance            ",92 min,  5.8 ,2518,"     Director: Sudhanshu Saria |      Stars: Dhruv Ganesh,  Siddharth Menon,  Shiv Panditt,  Dixit "
Yeh Hai Jalwa,2002," Comedy, Drama, Romance            ",165 min,  4.7 ,2511,"     Director: David Dhawan |      Stars: Rishi Kapoor,  Salman Khan,  Ameesha Patel,  Rati Agnihotri "
Drona,2008," Action, Adventure, Fantasy            ",138 min,  2.0 ,2503,"     Director: Goldie Behl |      Stars: Jayshree Arora,  Veer Arya,  Abhishek Bachchan,  Jaya Bachchan "
Jai Gangaajal,2016," Crime, Drama            ",149 min,  5.6 ,2496,"     Director: Prakash Jha |      Stars: Priyanka Chopra Jonas,  Prakash Jha,  Manav Kaul,  Ninad Kamat "
Fauji calling,2021, Drama            ,134 min,  5.6 ,2495,"     Director: Aaryaan Saxena |      Stars: Bidita Bag,  Anil Chouhan,  Mugdha Godse,  Siddhi Anil Jain "
Murder 3,2013," Drama, Mystery, Thriller            ",124 min,  4.9 ,2490,"     Director: Vishesh Bhatt |      Stars: Randeep Hooda,  Aditi Rao Hydari,  Sara Loren,  Rajesh Shringarpure "
Dosti: Friends Forever,2005," Drama, Romance            ",136 min,  5.5 ,2490,"     Director: Suneel Darshan |      Stars: Akshay Kumar,  Bobby Deol,  Kareena Kapoor,  Lara Dutta "
Hero,V 2015," Action, Drama, Musical            ",145 min,  3.5 ,2486,"     Director: Nikkhil Advani |      Stars: Sooraj Pancholi,  Athiya Shetty,  Tigmanshu Dhulia,  Aditya Pancholi "
Honeymoon Travels Pvt. Ltd.,2007," Comedy, Drama, Romance            ",118 min,  6.1 ,2485,"     Director: Reema Kagti |      Stars: Abhay Deol,  Minissha Lamba,  Boman Irani,  Shabana Azmi "
Zanjeer,2013," Action, Crime, Drama            ",137 min,  3.2 ,2481,"     Director: Apoorva Lakhia |      Stars: Ram Charan,  Priyanka Chopra Jonas,  Sanjay Dutt,  Prakash Raj "
Namak Halaal,1982," Action, Comedy, Drama            ",171 min,  7.3 ,2480,"     Director: Prakash Mehra |      Stars: Waheeda Rehman,  Shashi Kapoor,  Amitabh Bachchan,  Smita Patil "
Sadak,1991," Action, Drama, Romance            ",134 min,  6.4 ,2477,"     Director: Mahesh Bhatt |      Stars: Sanjay Dutt,  Pooja Bhatt,  Deepak Tijori,  Sadashiv Amrapurkar "
Ram Lakhan,1989," Action, Comedy, Drama            ",174 min,  6.8 ,2476,"     Director: Subhash Ghai |      Stars: Rakhee Gulzar,  Jackie Shroff,  Anil Kapoor,  Dimple Kapadia "
Dhan Dhana Dhan Goal,2007," Drama, Sport            ",167 min,  5.0 ,2474,"     Director: Vivek Agnihotri |      Stars: John Abraham,  Arshad Warsi,  Bipasha Basu,  Boman Irani "
U Me Aur Hum,2008," Drama, Romance            ",156 min,  5.9 ,2472,"     Director: Ajay Devgn |      Stars: Ajay Devgn,  Kajol,  Sumeet Raghvan,  Divya Dutta "
Great Grand Masti,2016," Comedy, Drama, Fantasy            ",134 min,  3.7 ,2470,"     Director: Indra Kumar |      Stars: Urvashi Rautela,  Riteish Deshmukh,  Vivek Oberoi,  Aftab Shivdasani "
Thoda Pyaar Thoda Magic,2008," Comedy, Drama, Family            ",145 min,  4.9 ,2459,"     Director: Kunal Kohli |      Stars: Saif Ali Khan,  Rani Mukerji,  Rishi Kapoor,  Akshat Chopra "
S.P. Chauhan,2019, Drama            ,136 min,  5.3 ,2446,"     Director: Manoj K. Jha |      Stars: Jimmy Sheirgill,  Yuvika Chaudhary,  Yashpal Sharma,  Deepak Mor "
Buddha in a Traffic Jam,2016," Crime, Thriller            ",114 min,  6.7 ,2443,"     Director: Vivek Agnihotri |      Stars: Aanchal Dwivedi,  Mahie Gill,  Pallavi Joshi,  Anupam Kher "
